LON	LAT	NUMBER	STREET	UNIT	CITY	DISTRICT	REGION	POSTCODE	ID	HASH
-66.610899	45.8810775	1775	Alison Blvd		Fredericton					a19ca6fac0703b6b
-66.6113405	45.8812233	1770	Alison Blvd		Fredericton			E3C2E9		b924d552b2c02d12
-66.6111052	45.8840172	1640	Alison Blvd		Fredericton			E3C2E9		70d7107c86d77de1
-66.6108561	45.886346	1570	Alison Blvd		Fredericton			E3C2E9		79e48d08cec1bdd8
-66.6108205	45.8872139	1540	Alison Blvd		Fredericton			E3C2E9		0803eec75ebf6ed1
-66.6106333	45.8889758	1480	Alison Blvd		Fredericton			E3C2M2		a83fbabec3adcf3b
-66.6105496	45.889989	1434	Alison Blvd		Fredericton			E3C2M2		352e1a038b4c0691
-66.6423055	45.8901538	125	Flanagan Rd		Fredericton					2813fe89ddcd2d34
-66.6104193	45.8911844	1394	Alison Blvd		Fredericton			E3C2M2		e521645ec3ddae0f
-66.6103825	45.8917751	1370	Alison Blvd		Fredericton			E3C2M2		a66872f751fe4c01
-66.6332164	45.8924691	964	Doak Rd		Fredericton			E3C2E9		f3621d08d50168b5
-66.6339362	45.8928034	5	Flanagan Rd		Fredericton			E3C2E9		d45901b2d4b227b6
-66.6344271	45.8930539	15	Flanagan Rd		Fredericton			E3C2E9		a9ecf1fa2a465e5d
-66.632608	45.8931928	928	Doak Rd		Fredericton			E3C2E9		ad9072456d7eac08
-66.6350267	45.8932434	25	Flanagan Rd		Fredericton			E3C2E9		e5e28999c0c5aefc
-66.634341	45.8934346	20	Flanagan Rd		Fredericton			E3C2E8		877a92228e8e1768
-66.6355723	45.8934632	35	Flanagan Rd		Fredericton			E3C2E9		4e5398917416de4b
-66.6102203	45.8938186	1280	Alison Blvd		Fredericton			E3C2M2		b9aee2b9d0b25ffb
-66.63663	45.8939186	95	Flanagan Rd		Fredericton			E3C2E9		eace5acaad44a2ef
-66.6320436	45.8939771	892	Doak Rd		Fredericton			E3C2E9		903a7eed4ba5791e
-66.636446	45.8942918	90	Flanagan Rd		Fredericton			E3C2E8		401862fb875a40e2
-66.6375688	45.8947011	134	Flanagan Rd		Fredericton			E3C2E8		010fea7fa42827d4
-66.6313703	45.8947845	856	Doak Rd		Fredericton			E3C2E9		0625424605683d74
-66.5948857	45.8951987	160	Blizzard St		Fredericton			E3B8K2		6a655898c74aa3f4
-66.590158	45.8952313	36	Dorcas St		Fredericton			E3B8K6		46614821dc5566e4
-66.6389651	45.8953009	150	Flanagan Rd		Fredericton			E3C2E8		e96b314abed062d2
-66.5905939	45.8953644	51	Dorcas Dr		Fredericton			E3B0J1		a5c56522f1735512
-66.6095509	45.8954208	1205	Alison Blvd		Fredericton			E3C0E5		f4009b5c2c2ef4c2
-66.6404906	45.8954664	195	Flanagan Rd		Fredericton					dcf413bc1825a260
-66.5904349	45.8955388	45	Dorcas St		Fredericton			E3B8K6		fd3ef0fa309dca76
-66.5949973	45.8956687	103	Blizzard St		Fredericton			E3B8K3		1033700d929c256e
-66.5897644	45.8957117	16	Dorcas St		Fredericton			E3B8K6		a4fa9e29273511e3
-66.5944195	45.8957187	140	Blizzard St		Fredericton			E3B8K2		3f309035e82769d7
-66.6303047	45.8959194	806	Doak Rd		Fredericton			E3C2E9		1efb7fbc833e22e7
-66.5894834	45.896034	10	Dorcas St		Fredericton			E3B8K6		808255ada57c8f7f
-66.6404919	45.8959914	200	Flanagan Rd		Fredericton			E3C2E8		109c93f061eb4a74
-66.5943807	45.8963742	55	Blizzard St		Fredericton			E3B8K3		dedc793332261e5f
-66.6417032	45.8964767	234	Flanagan Rd		Fredericton			E3C2E8		25e860ec3708b7a2
-66.5941279	45.8966619	49	Blizzard St		Fredericton			E3B8K3		65ef6e1506e4f652
-66.5872727	45.8968032	369	Glasier Rd		Fredericton			E3B8L1		c4f8dc654e14b598
-66.5866014	45.8968203	356	Glasier Rd		Fredericton			E3B8L4		2d7ac775ca53181c
-66.610089	45.8968122	1200	Alison Blvd		Fredericton			E3C2M2		f987056a27d1b341
-66.6438606	45.8968473	325	Flanagan Rd		Fredericton					ed01a4b6019755d6
-66.6426849	45.8968943	330	Flanagan Rd		Fredericton			E3C2E8		94f869b6f03763ad
-66.5905883	45.8971663	100	Pepin Rd		Fredericton			E3B8K1		7bb2adc5dc3aff92
-66.5868107	45.8972147	349	Glasier Rd		Fredericton			E3B8L1		e758ff1ab00bb0cb
-66.5899917	45.8972217	135	Pepin Rd		Fredericton			E3B8J9		b120c55fc2c23158
-66.5883361	45.8973647	445	Urquhart Cres		Fredericton			E3B8K4		df674dcd62e996ac
-66.643655	45.8973267	334	Flanagan Rd		Fredericton			E3C2E8		86f2d55c7b7a8f12
-66.5928787	45.8974925	40	Blizzard St		Fredericton			E3B8K3		ddbbeef2f3630f1b
-66.6442877	45.8975544	340	Flanagan Rd		Fredericton			E3C2E8		ed612632d913c73c
-66.588631	45.8976546	440	Urquhart Cres		Fredericton			E3B8K5		5c010b3d28a5c9d6
-66.5930849	45.8978846	25	Blizzard St		Fredericton			E3B8K3		4f01b6b628fcf0dd
-66.64613	45.8978562	395	Flanagan Rd		Fredericton					6c40beb043595793
-66.5909391	45.8981648	77	Pepin Rd		Fredericton			E3B8J9		39cd50602303989b
-66.645902	45.8981687	400	Flanagan Rd		Fredericton			E3C2E8		5ad7e7b2c5407b1c
-66.5925311	45.8984798	5	Blizzard St		Fredericton			E3B8K3		9420512db2a84899
-66.6250917	45.8984873	738	Doak Rd		Fredericton			E3C2G1		f272de0a7f3e7ce1
-66.5883033	45.8986334	390	Urquhart Cres		Fredericton			E3B8K5		a87516fbe73cda79
-66.5915147	45.8986601	57	Pepin Rd		Fredericton			E3B8J9		5fba281c82c209f9
-66.5848547	45.8989482	270	Glasier Rd		Fredericton			E3B8L4		7e54de565dd71320
-66.5880538	45.8989759	385	Urquhart Cres		Fredericton			E3B8K4		8028aec0679148be
-66.6092957	45.8990299	80	Alison Blvd		Fredericton			E3C0E5		0f447605fcb58c95
-66.6276647	45.8991538	736	Doak Rd		Fredericton			E3C2G1		f56e5da786406d18
-66.5846025	45.8992125	258	Glasier Rd		Fredericton			E3B8L4		6c898c0276ab37e4
-66.5889061	45.8992497	350	Urquhart Cres		Fredericton			E3B8K5		293b7588ea5a2fe1
-66.5912453	45.899376	150	Urquhart Cres		Fredericton			E3B8K5		14252689534ba6c9
-66.5848722	45.8994354	253	Glasier Rd		Fredericton			E3B8L1		74b9ef74f07a12ec
-66.5885869	45.8995077	355	Urquhart Cres		Fredericton			E3B8K4		5471e0d55715344e
-66.5908626	45.8998168	170	Urquhart Cres		Fredericton			E3B8K5		b217a8d2150228c1
-66.5894999	45.8998808	300	Urquhart Cres		Fredericton			E3B8K5		ade62e53c40dfa7e
-66.5839735	45.899953	226	Glasier Rd		Fredericton			E3B8L4		bdde3ea8d2f2f5b8
-66.5912463	45.9000054	165	Urquhart Cres		Fredericton			E3B8K4		6c467d82e683b782
-66.5903001	45.9002028	200	Urquhart Cres		Fredericton			E3B8K5		829d361a844b8b66
-66.574703	45.9002496	2095	Lincoln Rd		Fredericton			E3B8P2		b8cb57e10abe2104
-66.5835708	45.9004054	222	Glasier Rd		Fredericton			E3B8L4		7a4ed42124607d0e
-66.5839743	45.9004753	211	Glasier Rd		Fredericton			E3B8L1		0ca4d2be81a5eec4
-66.5748318	45.9006328	2087	Lincoln Rd		Fredericton			E3B8P2		cffc6102a1e56570
-66.5837311	45.9007283	199	Glasier Rd		Fredericton			E3B8L1		fc426b5ad3f250f2
-66.5832685	45.9007462	194	Glasier Rd		Fredericton			E3B8L4		fb75a23fbd53e25d
-66.6123281	45.9007868	1010	Alison Blvd		Fredericton			E3C0C3		2e277d7ae1ed266b
-66.5748978	45.9008537	2075	Lincoln Rd		Fredericton			E3B8P2		509cac32971d6768
-66.5753181	45.900983	2072	Lincoln Rd		Fredericton			E3B8M7		bcc06769bedfab78
-66.5749625	45.9010511	2073	Lincoln Rd		Fredericton			E3B8P2		5d7da62bf15872dd
-66.5812347	45.9010693	48	Legere St		Fredericton			E3B8M6		ca47f76b938de80f
-66.5833953	45.90111	185	Glasier Rd		Fredericton			E3B8K9		5162e0f402b0e02d
-66.593679	45.9011978	204	Dora Dr		Fredericton			E3B9L3		69b8751d0e3f86d0
-66.5828742	45.9012161	174	Glasier Rd		Fredericton			E3B8L4		9dc4f463041c6ddd
-66.5750111	45.9012319	2067	Lincoln Rd		Fredericton			E3B8P2		75530dcda3df767b
-66.5934859	45.9012187	198	Dora Dr		Fredericton			E3B9L3		ba6aa1fbdbdbc16d
-66.5938092	45.9012807	207	Dora Dr		Fredericton			E3B9L3		c31796db47239311
-66.5810501	45.9012926	41	Legere St		Fredericton			E3B8M5		d08b8ea9b779d741
-66.6259047	45.9012675	566	Doak Rd		Fredericton			E3C2G1		2a623f43ae3cace0
-66.5816391	45.9013272	38	Legere St		Fredericton			E3B8M6		b5e2150dd2694456
-66.6132644	45.9013141	970	Alison Blvd		Fredericton			E3C0C3		b35a65f91069c93d
-66.5933635	45.9013355	192	Dora Dr		Fredericton			E3B9L3		c38cd7d61de4993d
-66.583194	45.9013509	177	Glasier Rd		Fredericton			E3B8K9		3a23c1a57ca7f1d5
-66.5750518	45.9013727	2065	Lincoln Rd		Fredericton			E3B8P2		ebe485c3d8eaadf9
-66.584234	45.9013712	123	McGee St		Fredericton			E3B8M2		7dcc468bb4352f67
-66.5938466	45.9014052	201	Dora Dr		Fredericton			E3B9L3		e4ee3a46e933285b
-66.5754805	45.9014575	2060	Lincoln Rd		Fredericton			E3B8M7		3221b09d9bf4b17b
-66.5826393	45.9014628	162	Glasier Rd		Fredericton			E3B8L4		3fc48caf59052477
-66.5841382	45.9014752	122	McGee St		Fredericton			E3B8M2		a6f30629146db082
-66.58137	45.9015038	31	Legere St		Fredericton			E3B8M5		26f87af2ed0e0034
-66.5936722	45.9015221	195	Dora Dr		Fredericton			E3B9L3		e8bc9d24108cf4b9
-66.5933006	45.9015275	186	Dora Dr		Fredericton			E3B9L3		4c3cc1db056e923b
-66.5997518	45.9015233	85	Harland Crt		Fredericton			E3B0E3		c62a0a8443cdf54e
-66.6000128	45.9015294	91	Harland Crt		Fredericton			E3B0E3		47167a8221c0641b
-66.5830094	45.9015683	167	Glasier Rd		Fredericton			E3B8K9		db39137044568c34
-66.5840745	45.9015868	121	McGee St		Fredericton			E3B8M2		f1d0a152cd7f1555
-66.5755703	45.9016549	2050	Lincoln Rd		Fredericton			E3B8M7		941e3ebc2f0bc741
-66.5935275	45.9016441	189	Dora Dr		Fredericton			E3B9L3		e9bbfb9c960115ad
-66.5931745	45.9016574	180	Dora Dr		Fredericton			E3B9L3		600f17ea5f37db67
-66.5995987	45.9016679	79	Harland Crt		Fredericton			E3B0E3		bb15d3fdf7e104f5
-66.5839581	45.9017057	120	McGee St		Fredericton			E3B8M2		b19e90858cd1301b
-66.6001839	45.9017052	86	Harland Crt		Fredericton			E3B0E3		d29cdfff60999d73
-66.5824046	45.9017451	148	Glasier Rd		Fredericton			E3B8L4		06d494a430988af7
-66.5816726	45.9017501	21	Legere St		Fredericton			E3B8M5		85d63db31315e24e
-66.5980904	45.9017587	370	Goodine St		Fredericton			E3B0H6		94e49d7ffcf69f86
-66.6125996	45.9017498	975	Alison Blvd		Fredericton			E3C0E5		98b6dbf8aa2b2022
-66.5929671	45.9017725	174	Dora Dr		Fredericton			E3B9L3		92eefc0574280af6
-66.593402	45.9017838	183	Dora Dr		Fredericton			E3B9L3		147c356efa035a16
-66.5803865	45.9018037	48	Rowan St		Fredericton			E3B8M4		56081a2d815bada5
-66.5746884	45.901808	5	Bourque Ln		Fredericton			E3B9G8		0aa55c757907c267
-66.5827913	45.9018091	151	Glasier Rd		Fredericton			E3B8K9		7db012e6607eca66
-66.583841	45.9018097	119	McGee St		Fredericton			E3B8M2		60cfe30edd1972b9
-66.6254265	45.901793	526	Doak Rd		Fredericton			E3C2G1		1348e739b15d1b92
-66.5984495	45.9018295	371	Goodine St		Fredericton			E3B0H7		8cf6a4fb9a3edd7a
-66.5995269	45.9018627	73	Harland Crt		Fredericton			E3B0E3		2f80bb7b306f0a62
