LON	LAT	NUMBER	STREET	UNIT	CITY	DISTRICT	REGION	POSTCODE	ID	HASH
-110.6665778	50.0608761	27	HORNER CRT NE					T1C1M1		eb7bb41884a1f9a5
-110.6669635	50.0611365	44	HORNER CRT NE					T1C1M1		73840dcf96ee0e8e
-110.6665592	50.061375	28	HORNER CRT NE					T1C1M1		baeeca3e8f9ec5ab
-110.6671148	50.0617875	911	22 ST NE					T1C1L8		1ff3537ca62f9ca9
-110.6669856	50.061792	913	22 ST NE					T1C1L8		3458bc2bf87b57c0
-110.6668311	50.0621584	932	22 ST NE					T1C1L7		73922a93cace492f
-110.6666031	50.0621627	954	22 ST NE					T1C1L7		dbdda150aea67758
-110.6910023	50.0508951	120	MITCHELL CRES NW					T1A6V4		41168ac16048499e
-110.6912319	50.0509098	132	MITCHELL CRES NW					T1A6V4		4b31ceae922c7da8
-110.6911412	50.0514025	160	MITCHELL CRES NW					T1A6V4		aa6d0c8ed8c3a5f3
-110.6911173	50.0517193	170	MITCHELL CRES NW					T1A6V4		7f7d48c383492c99
-110.6903592	50.0522525	230	MITCHELL CRES NW					T1A6V4		95311e78a27260f9
-110.6891015	50.0522562	278	MITCHELL CRES NW					T1A6V4		27172ff5fea330c2
-110.6888938	50.0522345	286	MITCHELL CRES NW					T1A6V4		ba29ec338f3fe204
-110.6902969	50.0517383	48	PARK CRES NW					T1A6V8		c3c2adada2ea142d
-110.6886012	50.0518183	98	PARK CRES NW					T1A6V8		6f0276cc5daa64f7
-110.6888528	50.0518119	90	PARK CRES NW					T1A6V8		75616e88798eb6e8
-110.6879352	50.0516334	45	MCINTOSH AVE NW					T1A6V1		88bf1b442024d461
-110.7129679	50.0414229	28	RED DEER DR SW					T1A4A4		14bef86373814a13
-110.7107288	50.0400956	52	RED DEER DR SW					T1A4A4		b0f1a8bac2db95c8
-110.7100058	50.039695	59	RED DEER DR SW					T1A7J6		12f69381353c555b
-110.7099517	50.0398657	57	RED DEER DR SW					T1A7J6		b7ef4b2a79f5ca53
-110.7100382	50.0401964	53	RED DEER DR SW					T1A7J6		a6092331a5e44a68
-110.7109161	50.0413153	14	HARRIS ST SW					T1A4A1		8af6fb5845757a0e
-110.7072215	50.0407705	40	HARRIS ST SW					T1A4A1		acab5f8d1bb622a7
-110.7064091	50.0405178	45	HARRIS ST SW					T1A5N4		37111571cf1bc70c
-110.7061466	50.0400499	3	FINLAY CRT SW					T1A7M7		b131bd05fb4d0876
-110.7051533	50.0404576	12	FINLAY CRT SW					T1A7M7		0b2d48f49e379215
-110.706162	50.040426	20	FINLAY CRT SW					T1A7M7		1dc523671da5732d
-110.7141893	50.0413348	2	GREENWOOD CRT SW					T1A7X7		608025459e666f7c
-110.7145984	50.0409712	13	GREENWOOD CRT SW					T1A7X7		9294bbb64801e472
-110.7135041	50.0405241	25	GREENWOOD CRT SW					T1A7X7		ca326c9c14a69c11
-110.7130233	50.0410356	90	GREENWOOD CRT SW					T1A7X7		2712cc5fea706135
-110.7092914	50.0408099	24	NOBLE CRT SW					T1A4A3		33473142a9539b8f
-110.7095919	50.0408562	26	NOBLE CRT SW					T1A4A3		829dacd29dbeaf71
-110.6989279	50.0395307	528	1 ST SW					T1A3Z4		37138d28161a4a3c
-110.7029295	50.0389163	701	1 ST SW					T1A3Z5		3b2831ce0c50a8e9
-110.7034118	50.0388883	733	1 ST SW	6				T1A3Z5		cb100de09c1b2010
-110.7056147	50.038906	861	1 ST SW	2				T1A3Z5		d751c84a6421373f
-110.705696	50.0389062	861	1 ST SW	5				T1A3Z5		0520785dad5a22f5
-110.7056892	50.0388477	861	1 ST SW	6				T1A3Z5		34313f7c5edd9bc9
-110.7036937	50.039402	754	1 ST SW					T1A3Z6		af541f121bedf4b3
-110.7063372	50.0394211	890	1 ST SW					T1A3Z7		a3c9b58308f499bc
-110.7047789	50.0383548	21	VALLEYVIEW DR SW					T1A7K5		b9e8e4d3a47d4616
-110.7054183	50.0383358	25	VALLEYVIEW DR SW					T1A7K5		a8c91e23cc5c093f
-110.707704	50.0383004	41	VALLEYVIEW DR SW					T1A7K5		9b94c85d18937474
-110.7094878	50.0375624	56	VALLEYVIEW DR SW					T1A8E4		204bbd1d12e548f4
-110.7030593	50.0373005	634	PROSPECT DR SW					T1A4C1		c898dc9ecf7cf514
-110.703379	50.0372911	638	PROSPECT DR SW					T1A4C1		eeefd413d3cb1e7b
-110.7034396	50.0378368	17	CHINOOK DR SW					T1A4B4		b706025c9da7bdfd
-110.7039991	50.0378073	21	CHINOOK DR SW					T1A4B4		d04cf3fc11a29778
-110.7054402	50.0373683	33	CHINOOK DR SW					T1A4B4		1449431159417d7c
-110.7050298	50.036951	664	PROSPECT DR SW					T1A4C1		471ef16982c445c8
-110.7052928	50.0379444	26	CHINOOK DR SW					T1A4B3		1f0fab896cb71d0c
-110.7055971	50.0378525	28	CHINOOK DR SW					T1A4B3		268b72304e55ca0b
-110.7067102	50.0361466	48	CHINOOK DR SW					T1A7M6		a1e6b1cda70c7bb3
-110.7062063	50.037535	2	CHINOOK CRT SW					T1A4B5		c5005af532020fd3
-110.7070197	50.0378149	8	CHINOOK CRT SW					T1A4B5		ff5a592fdcc0b02c
-110.707568	50.0370031	20	CHINOOK CRT SW					T1A4B5		3e4e570585e3781c
-110.7016616	50.0384704	4	CHINOOK DR SW					T1A4B3		7f81e3fefa04fb7c
-110.7020624	50.0382759	6	CHINOOK DR SW					T1A4B3		e2aafff179fff287
-110.6877473	50.0387221	24	1 ST SW					T1A3Y8		c6d6531febead1fc
-110.6884984	50.0387344	52	1 ST SW					T1A3Y8		33a68dfeee447bfd
-110.6888344	50.0386838	62	1 ST SW					T1A3Y8		ecbeb96734ff656c
-110.68909	50.0387051	78	1 ST SW					T1A3Y8		8.14596E+15
